rank,material_id,formula,elements,density,band_gap,energy_above_hull,formation_energy_per_atom,is_stable,hull_score,formation_score,stable_score,overall_score
902,mp-769614,Li4V3CrO8,"Cr,Li,O,V",3.9547632486203534,1.8721,0.0107642256249995,-2.4617270192708336,False,0.7847125836039791,0.5355508793081227,0,0.6190347287400315
903,mp-1178090,Li12Mn7V(PO4)12,"Li,Mn,O,P,V",2.968548196219634,0.6222000000000001,0.012250637687492,-2.5809447570153936,False,0.7549839413604822,0.5821705334121777,0,0.6190008544425274
904,mp-758562,LiFeSiO4,"Fe,Li,O,Si",2.953604313834913,2.6843,0.0117089775000023,-2.5367672876190475,False,0.7658172912354991,0.564895097882081,0,0.6189127944382529
905,mp-753433,SrLiLa3MnO8,"La,Li,Mn,O,Sr",6.146066465430097,1.6632999999999996,0.0200871794970272,-3.2090488190188844,False,0.5982509910834102,0.8277882968920994,0,0.6187639490081105
906,mp-757749,Li2Mn(PO4)2,"Li,Mn,O,P",3.1448707284560884,0.4856,0.0111529655876125,-2.490655361356417,False,0.776937679480224,0.5468632001703362,0,0.6187178437737408
907,mp-887724,Li2FeO3,"Fe,Li,O",3.856510072525362,0.0,0.0035133254166668,-1.8744459473611108,False,0.929732543866786,0.3058967946705433,0,0.6184167772614224
908,mp-778200,Li2MnV(P2O7)2,"Li,Mn,O,P,V",2.895622588566404,0.4282000000000001,0.0131897395454405,-2.651164406962232,False,0.7362016508573095,0.6096296670424736,0,0.618281291436386
909,mp-755048,Li2CrFeO4,"Cr,Fe,Li,O",4.130485317688128,1.7079999999999995,0.0072089666666661,-2.169968332083334,False,0.8558187218830567,0.4214597269690484,0,0.6182112014748482
910,mp-754416,Li4Mn(BO3)2,"B,Li,Mn,O",2.6513995450792343,3.5788,0.0116699557692285,-2.525087912853669,False,0.7665977363779795,0.5603279217049906,0,0.6177435276046355
911,mp-732284,Li2Ti4Co(AsO5)4,"As,Co,Li,O,Ti",3.811092546491493,2.7286,0.0108628016129017,-2.459493442741936,False,0.782741037252808,0.5346774474920012,0,0.6176446771112448
912,mp-772976,Li8Mn15NiO32,"Li,Mn,Ni,O",4.10039374949867,0.6734,0.0055742763392849,-2.033168815636289,False,0.8885129694257805,0.3679647835234013,0,0.6174698074173697
